"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 18, 2020","34.706","34.172","34.786","32.417","13.48M","1.53%"
"Mar 17, 2020","34.184","33.134","35.779","32.536","14.09M","3.19%"
"Mar 16, 2020","33.127","36.391","36.391","29.447","20.03M","-8.97%"
"Mar 15, 2020","36.392","34.435","38.528","34.071","12.73M","5.67%"
"Mar 14, 2020","34.440","37.556","37.637","33.872","14.03M","-8.29%"
"Mar 13, 2020","37.552","29.852","39.837","24.353","40.42M","25.85%"
"Mar 12, 2020","29.839","48.553","48.744","28.955","31.69M","-38.54%"
"Mar 11, 2020","48.550","50.203","50.716","45.646","10.46M","-3.28%"
"Mar 10, 2020","50.197","50.497","51.362","49.063","9.85M","-0.62%"
"Mar 09, 2020","50.507","50.974","52.204","46.751","16.44M","-0.89%"
"Mar 08, 2020","50.960","60.454","60.456","50.787","11.83M","-15.70%"
"Mar 07, 2020","60.454","63.203","63.813","60.089","7.58M","-4.36%"
"Mar 06, 2020","63.211","62.065","63.784","61.260","8.76M","1.86%"
"Mar 05, 2020","62.057","60.346","63.188","60.346","9.15M","2.84%"
"Mar 04, 2020","60.345","61.011","61.737","58.891","7.77M","-1.09%"
"Mar 03, 2020","61.011","61.416","62.340","59.564","9.41M","-0.66%"
"Mar 02, 2020","61.415","57.750","62.270","57.334","10.71M","6.31%"
"Mar 01, 2020","57.768","58.078","60.217","56.293","9.85M","-0.53%"
"Feb 29, 2020","58.078","59.904","61.582","58.062","8.87M","-3.05%"
"Feb 28, 2020","59.904","61.672","63.302","56.953","13.75M","-2.87%"
"Feb 27, 2020","61.671","60.589","64.980","57.313","15.07M","1.79%"
"Feb 26, 2020","60.589","71.056","72.120","57.913","18.33M","-14.72%"
"Feb 25, 2020","71.045","75.579","75.969","69.882","11.89M","-6.00%"
"Feb 24, 2020","75.579","79.673","79.678","71.906","13.52M","-5.18%"
"Feb 23, 2020","79.706","74.817","79.920","74.722","11.93M","6.53%"
"Feb 22, 2020","74.818","73.288","76.642","72.422","11.56M","2.08%"
"Feb 21, 2020","73.291","69.455","75.161","68.633","12.13M","5.52%"
"Feb 20, 2020","69.455","70.782","72.339","66.495","12.45M","-1.87%"
"Feb 19, 2020","70.782","77.173","79.041","68.264","12.10M","-8.28%"
"Feb 18, 2020","77.173","73.357","78.911","70.217","10.64M","5.22%"
"Feb 17, 2020","73.341","74.867","75.411","68.653","12.14M","-2.04%"
"Feb 16, 2020","74.866","76.744","80.681","67.961","15.15M","-2.44%"
"Feb 15, 2020","76.741","82.959","83.359","75.182","11.58M","-7.50%"
"Feb 14, 2020","82.965","80.597","83.619","78.772","8.69M","2.93%"
"Feb 13, 2020","80.601","81.194","84.086","77.481","13.61M","-0.73%"
"Feb 12, 2020","81.190","76.524","82.741","76.507","10.96M","6.10%"
"Feb 11, 2020","76.524","74.095","77.351","72.730","8.05M","3.27%"
"Feb 10, 2020","74.100","77.023","77.426","72.362","9.46M","-3.80%"
"Feb 09, 2020","77.023","76.613","78.372","75.148","7.52M","0.53%"
"Feb 08, 2020","76.613","74.338","77.760","71.638","9.38M","3.06%"
"Feb 07, 2020","74.338","73.594","75.420","72.663","8.35M","1.01%"
"Feb 06, 2020","73.594","72.566","75.007","70.970","9.75M","1.42%"
"Feb 05, 2020","72.563","68.067","73.382","67.668","8.84M","6.61%"
"Feb 04, 2020","68.063","69.705","70.452","68.063","7.19M","-2.36%"
"Feb 03, 2020","69.705","69.959","72.878","68.586","8.88M","-0.35%"
"Feb 02, 2020","69.953","70.751","73.344","67.924","10.55M","-1.13%"
"Feb 01, 2020","70.751","68.041","72.714","67.684","12.07M","3.98%"
"Jan 31, 2020","68.044","67.967","69.762","65.535","12.17M","0.11%"
"Jan 30, 2020","67.969","59.816","70.141","58.338","14.45M","13.63%"
"Jan 29, 2020","59.817","60.554","62.387","59.491","7.98M","-1.21%"
"Jan 28, 2020","60.549","58.574","61.551","57.468","9.03M","3.37%"
"Jan 27, 2020","58.574","56.255","59.546","55.963","7.60M","4.12%"
"Jan 26, 2020","56.255","53.269","56.395","52.919","5.43M","5.60%"
"Jan 25, 2020","53.272","54.390","54.397","52.405","5.06M","-2.06%"
"Jan 24, 2020","54.390","54.485","55.364","50.870","8.02M","-0.17%"
"Jan 23, 2020","54.484","58.311","58.363","52.736","7.37M","-6.56%"
"Jan 22, 2020","58.309","57.597","59.175","57.229","4.25M","1.24%"
"Jan 21, 2020","57.597","57.200","58.084","56.066","4.50M","0.70%"
"Jan 20, 2020","57.200","57.670","58.223","55.880","5.47M","-0.84%"
"Jan 19, 2020","57.681","59.285","62.314","55.804","8.51M","-2.71%"
"Jan 18, 2020","59.290","61.064","62.391","58.083","8.30M","-2.91%"
"Jan 17, 2020","61.064","57.630","63.189","56.786","10.61M","5.96%"
"Jan 16, 2020","57.632","58.184","58.463","54.932","8.17M","-0.94%"
"Jan 15, 2020","58.180","58.535","58.535","55.378","11.65M","-0.61%"
"Jan 14, 2020","58.539","49.594","60.711","49.590","15.70M","18.04%"
"Jan 13, 2020","49.591","51.386","51.493","48.968","6.31M","-3.49%"
"Jan 12, 2020","51.383","49.436","51.541","48.878","7.54M","3.93%"
"Jan 11, 2020","49.438","49.050","51.859","47.964","9.34M","0.80%"
"Jan 10, 2020","49.044","44.779","49.622","43.835","9.45M","9.51%"
"Jan 09, 2020","44.784","45.375","45.788","43.978","6.20M","-1.30%"
"Jan 08, 2020","45.374","46.397","48.446","44.345","9.59M","-2.21%"
"Jan 07, 2020","46.400","45.778","46.654","44.631","9.54M","1.36%"
"Jan 06, 2020","45.778","43.456","45.778","43.316","8.13M","5.34%"
"Jan 05, 2020","43.458","42.855","43.458","42.727","7.15M","1.41%"
"Jan 04, 2020","42.855","42.183","42.893","41.833","6.35M","1.61%"
"Jan 03, 2020","42.178","39.558","42.321","38.972","7.14M","6.63%"
"Jan 02, 2020","39.556","41.627","41.780","39.430","5.60M","-4.98%"
"Jan 01, 2020","41.627","41.288","42.136","41.142","5.44M","0.82%"
"Dec 31, 2019","41.287","42.425","43.032","41.111","7.30M","-2.68%"
"Dec 30, 2019","42.425","43.154","44.180","41.871","8.90M","-1.68%"
"Dec 29, 2019","43.152","42.751","43.698","42.151","10.14M","0.94%"
"Dec 28, 2019","42.751","41.037","43.774","40.968","9.65M","4.16%"
"Dec 27, 2019","41.044","40.087","41.044","39.763","8.09M","2.38%"
"Dec 26, 2019","40.088","40.102","41.688","39.629","7.34M","-0.03%"
"Dec 25, 2019","40.102","40.381","40.450","39.486","6.83M","-0.69%"
"Dec 24, 2019","40.381","40.688","41.134","39.826","7.76M","-0.75%"
"Dec 23, 2019","40.687","41.836","42.595","40.432","9.37M","-2.74%"
"Dec 22, 2019","41.834","39.678","42.118","39.607","8.91M","5.43%"
"Dec 21, 2019","39.678","40.098","40.118","39.447","6.02M","-1.04%"
"Dec 20, 2019","40.097","39.639","40.381","39.303","6.53M","1.15%"
"Dec 19, 2019","39.639","40.745","41.064","39.118","10.25M","-2.79%"
"Dec 18, 2019","40.778","36.987","41.450","35.944","17.63M","10.25%"
"Dec 17, 2019","36.986","39.984","40.136","36.501","15.75M","-7.50%"
"Dec 16, 2019","39.984","43.472","43.598","39.306","11.06M","-8.02%"
"Dec 15, 2019","43.472","43.273","44.000","42.931","6.72M","0.46%"
"Dec 14, 2019","43.273","44.440","44.674","43.236","6.95M","-2.63%"
"Dec 13, 2019","44.440","43.615","44.557","43.485","7.67M","1.89%"
"Dec 12, 2019","43.615","44.144","44.324","42.982","8.31M","-1.20%"
"Dec 11, 2019","44.145","44.109","44.944","43.484","6.13M","0.08%"
"Dec 10, 2019","44.110","44.490","44.601","43.693","8.42M","-0.86%"
"Dec 09, 2019","44.490","45.619","45.772","44.141","10.94M","-2.46%"
"Dec 08, 2019","45.614","45.237","46.161","44.933","9.40M","0.83%"
"Dec 07, 2019","45.237","45.345","46.267","45.060","10.12M","-0.24%"
"Dec 06, 2019","45.346","44.799","45.513","44.181","10.76M","1.22%"
"Dec 05, 2019","44.798","44.716","45.218","43.854","12.49M","0.16%"
"Dec 04, 2019","44.725","45.158","46.771","44.177","13.79M","-0.95%"
"Dec 03, 2019","45.156","45.613","46.201","44.665","11.24M","-1.00%"
"Dec 02, 2019","45.611","47.517","47.707","44.923","11.72M","-4.01%"
"Dec 01, 2019","47.517","47.523","48.455","45.733","10.57M","-0.01%"
"Nov 30, 2019","47.523","48.614","48.808","47.025","10.48M","-2.25%"
"Nov 29, 2019","48.615","46.868","49.254","46.826","11.63M","3.75%"
"Nov 28, 2019","46.859","47.723","48.014","46.473","10.52M","-1.81%"
"Nov 27, 2019","47.724","47.023","48.649","44.848","12.34M","1.50%"
"Nov 26, 2019","47.017","45.605","47.465","45.404","10.77M","3.07%"
"Nov 25, 2019","45.619","44.210","47.481","42.513","15.29M","3.18%"
"Nov 24, 2019","44.212","48.182","48.310","43.951","11.83M","-8.24%"
"Nov 23, 2019","48.180","47.422","48.516","46.293","10.76M","1.60%"
"Nov 22, 2019","47.423","50.674","51.473","43.989","17.21M","-6.42%"
"Nov 21, 2019","50.675","55.029","55.327","48.799","12.36M","-7.91%"
"Nov 20, 2019","55.029","55.145","56.141","54.774","9.74M","-0.21%"
"Nov 19, 2019","55.143","56.055","56.409","54.305","10.74M","-1.63%"
"Nov 18, 2019","56.055","59.216","59.315","54.469","11.13M","-5.34%"
"Nov 17, 2019","59.217","58.285","59.926","57.716","10.60M","1.60%"
"Nov 16, 2019","58.285","57.758","58.956","57.358","9.73M","0.91%"
"Nov 15, 2019","57.758","59.181","60.760","56.727","11.67M","-2.41%"
"Nov 14, 2019","59.187","61.026","61.156","58.768","10.60M","-3.01%"
"Nov 13, 2019","61.025","61.519","61.986","60.503","10.57M","-0.81%"
"Nov 12, 2019","61.522","61.892","62.299","60.094","10.97M","-0.60%"
"Nov 11, 2019","61.893","63.720","64.314","60.889","8.22M","-2.86%"
"Nov 10, 2019","63.716","62.096","65.384","61.369","10.44M","2.61%"
"Nov 09, 2019","62.093","60.450","62.363","60.262","6.86M","2.71%"
"Nov 08, 2019","60.452","61.472","62.490","59.156","10.17M","-1.65%"
"Nov 07, 2019","61.469","64.200","64.366","60.638","13.39M","-4.25%"
"Nov 06, 2019","64.199","63.245","64.264","62.715","15.52M","1.52%"
"Nov 05, 2019","63.238","61.442","64.084","61.226","17.68M","2.92%"
"Nov 04, 2019","61.443","58.404","62.426","58.010","16.78M","5.22%"
"Nov 03, 2019","58.398","58.281","58.811","57.272","14.48M","0.20%"
